,5132_kneaddata_Abundance,5145_kneaddata_Abundance,5188_kneaddata_Abundance,5210_kneaddata_Abundance,5401_kneaddata_Abundance,5406_kneaddata_Abundance,5409_kneaddata_Abundance,5411_kneaddata_Abundance,5414_kneaddata_Abundance,5136_kneaddata_Abundance,5140_kneaddata_Abundance,5141_kneaddata_Abundance,5192_kneaddata_Abundance,5194_kneaddata_Abundance,5403_kneaddata_Abundance,5404_kneaddata_Abundance,193_kneaddata_Abundance,179_kneaddata_Abundance,180_kneaddata_Abundance,181_kneaddata_Abundance,183_kneaddata_Abundance,184_kneaddata_Abundance,189_kneaddata_Abundance,190_kneaddata_Abundance,176_kneaddata_Abundance,185_kneaddata_Abundance,981_kneaddata_Abundance,984_kneaddata_Abundance
ENSMUSG00000028423,6.955123098,6.928654494,6.512011695,6.348559876,6.672196524,6.64405096,6.501862223,6.525501183,6.604832159,6.481810919,6.833771531,6.769069607,6.723840939,6.823458745,6.696439042,6.80269762,6.578428076,6.895756491,6.74703801,6.5354288,6.810610404,6.929206288,6.624968856,6.722337792,6.908211982,6.458509077,6.914742818,6.796677765
ENSMUSG00000028426,7.345781933,7.21230393,7.372889893,7.476315424,7.34586325,7.517109129,7.504356078,7.440888955,7.423481551,7.353254884,7.339833204,7.640196388,7.552407316,7.476563734,7.645557873,7.408660419,7.268548807,7.492649202,7.562043799,7.537580471,7.341125121,7.374675683,7.269718079,7.3484777,7.407063227,7.328928116,7.419885238,7.601025192
ENSMUSG00000028427,3.966680129,4.744595208,3.665308105,4.458742794,4.278118643,3.27481715,4.108296254,3.590954245,4.310649055,4.005661906,3.908580119,3.523762793,3.254726767,2.916568149,3.879529813,3.880922787,4.171052278,3.890613188,3.975045031,4.030054564,3.716634256,2.976872721,4.172221551,4.626011675,4.482315967,4.740485046,3.580501462,4.102533453
ENSMUSG00000028430,5.958985738,6.091866151,6.005732544,5.70518069,6.410568939,6.003745425,6.191122685,6.152457773,6.026856089,5.61507745,5.931420095,6.149597576,6.062081689,6.086493151,5.871117573,6.265586637,5.910461048,5.941239261,6.063945536,5.973960002,6.053283857,6.012496631,6.037771351,5.836578661,5.991329614,5.791831926,6.102270136,6.011237619
ENSMUSG00000028431,5.592000368,5.640486805,5.311024637,5.415674072,5.367755856,5.719601993,5.727815976,5.431173801,5.366792133,5.488444012,5.272854504,5.295138418,5.659710602,5.597289633,5.729389463,5.331584196,5.277093916,5.419541654,5.543613094,5.598622627,5.117732564,5.431048615,5.300805757,5.395581935,5.625573018,5.687243025,5.39373295,5.775492435
ENSMUSG00000028433,5.126336795,5.359677697,5.425357313,4.852406643,5.787132291,5.288113973,5.121352406,5.456936897,5.322053818,5.290115295,5.224355987,4.855606357,5.533262266,5.543350826,5.111476541,5.130536677,4.82756804,5.065110919,5.169217579,5.286962867,5.145477555,5.532688877,5.449449838,5.111438502,4.794700289,5.346206107,5.245634311,5.22010305
ENSMUSG00000028434,5.66947912,5.452041715,5.369323278,5.905258525,5.679216951,5.638870721,5.639819495,5.531575698,5.571773871,5.797075284,5.513862604,5.235637407,5.370203984,5.487316791,5.613136395,5.981526728,5.689288665,5.390686791,5.81350117,5.868510703,5.849084552,5.492887868,5.655900716,5.699668717,5.668008284,6.049813104,5.051131287,5.493554072
ENSMUSG00000028436,5.423318533,5.182281446,5.425357313,5.356173061,5.058805615,5.288113973,5.360359542,5.404942259,5.127784998,5.320172529,5.296505772,5.204940609,5.738244004,5.057923998,5.323629778,5.234559742,5.583029978,5.680193408,5.330806721,5.513733729,5.68861988,5.492887868,5.366394098,5.187890563,4.985748582,5.201816198,5.271397407,5.613017738
ENSMUSG00000028437,5.01200412,4.463182273,5.186845226,5.229260948,5.101240881,4.823710396,4.83473118,4.702847125,5.153548094,5.320172529,5.174170229,4.815528918,5.294255131,5.057923998,4.793115061,4.832013187,4.55519577,4.783697984,4.600196622,4.747324357,4.906965468,5.047262049,4.889491344,4.967048593,5.250645732,4.740485046,4.641043004,4.817556495
ENSMUSG00000028438,4.140011732,4.323457509,3.465999297,3.740513763,3.51627838,3.043491604,3.371330659,3.029075357,3.948078976,3.929713053,4.026416609,3.951184017,2.587302106,4.038558674,2.976827014,4.003779535,4.478233788,3.284892127,3.584255078,4.414198055,3.475626157,3.542469897,3.781431598,4.140584848,3.99688914,4.413320303,3.80877045,4.047038341
ENSMUSG00000028439,6.428899565,6.793961286,6.550315583,6.675060701,6.492562311,6.743931322,6.830762278,6.841329079,6.891789845,6.481810919,6.801074493,6.800208118,6.516647553,6.705622255,6.858406521,6.669840461,6.68501401,7.004504154,6.796305555,7.133253452,6.664851714,6.703703939,6.474453844,6.821659241,6.847965439,6.865580266,6.501066994,6.380237548
ENSMUSG00000028443,5.180275602,4.815853891,4.733479608,4.763597376,4.547305276,4.962873144,4.866095351,4.826582493,4.742760068,4.786348877,4.69384127,4.643061722,5.038998076,4.610465022,4.475632871,4.798460627,5.002654747,5.269124811,4.467441413,4.522450946,4.874175533,4.482763651,4.59335925,4.387499588,4.715988313,4.186549441,4.284108459,4.396980812
ENSMUSG00000028444,5.01200412,5.040727302,4.641849132,4.852406643,4.720636879,4.628454105,4.257673878,4.519400984,4.841163772,4.334969531,4.829724698,4.393702253,4.054428117,5.057923998,5.111476541,4.116990145,4.974909756,5.204273667,4.886817848,4.833912042,4.497321228,5.074483518,4.439325621,4.178552698,4.985748582,4.413320303,4.791068448,4.396980812
ENSMUSG00000028445,6.729503891,6.161913649,6.347736415,6.587217352,6.844465466,6.674747757,6.286938472,6.371467555,6.447111298,6.204075464,6.59716525,6.529967943,6.826268752,6.28031642,6.587691378,6.240818732,6.632705137,6.179182686,6.539485208,6.569476281,6.664851714,6.668406886,6.651522275,6.358849384,6.592906829,6.508477536,6.731989215,6.213816787
ENSMUSG00000028447,7.63850347,7.64782878,7.763679846,7.476315424,7.245381857,7.935671416,7.664558442,7.768614895,7.93513992,7.624141533,7.678171814,7.657303644,7.898582957,7.600594777,7.966992654,7.316847653,7.394317738,7.545965016,7.855614349,7.8495842,7.892711485,7.826871981,7.416282974,7.681604001,7.697328858,7.474310933,7.541330865,7.576736823
ENSMUSG00000028452,8.323483265,8.236854069,8.168492674,8.218859353,8.145001267,8.354400698,8.226293463,8.342390322,8.268534181,8.245780496,8.332701726,8.408933192,8.417211344,8.102900907,8.488064021,8.267120604,8.172579748,8.359382671,8.293300587,8.340936875,8.143759038,8.259312526,8.282516838,8.122437501,8.163110172,8.068672131,8.386383495,8.364716963
ENSMUSG00000028454,4.08451662,3.867079215,3.996514014,3.740513763,4.484569521,3.805331867,3.456219557,4.063022689,4.166259146,4.553149701,3.563444633,3.951184017,3.857391269,3.58399281,3.810817063,4.003779535,3.645961234,4.376040015,3.764827324,4.337236074,4.159152492,4.355384345,3.647130506,3.93413397,4.241307867,4.514603639,4.005807297,3.929201851
ENSMUSG00000028455,5.510123361,5.559755533,5.581476514,5.386230294,5.259502965,5.553352649,5.486807877,5.507122654,5.228186895,6.014880436,5.387414268,5.742597395,5.597871348,5.747968545,5.836969351,5.487101774,5.468318319,6.05595092,5.93160577,5.709653939,5.849084552,5.681744686,5.707431016,5.738314645,5.611145947,5.426376456,5.528034042,5.385840254
