EntrezId,Gene,HS,NH,DS,PT,Cluster
84680,ACCS,-0.078589507,-0.058687656,0.313128246,-0.510267843,1
390110,ACCSL,1.036912555,1.059112882,1.573217634,2.654928242,1
65057,ACD,1.140173416,0.620748668,-0.317413921,0.779580291,1
125981,ACER1,-1.414588748,-1.402726252,-0.591826904,-0.793394988,2
55331,ACER3,-0.001344562,-0.002928444,-0.035128665,0.038662204,1
43,ACHE,-0.954785326,-0.968584214,-1.064484315,-0.522516829,2
1238,ACKR2,-0.371543111,-0.35219341,-1.173221113,1.061536437,2
57007,ACKR3,-1.083924179,-1.072496125,-0.277006075,-1.903262738,2
130013,ACMSD,-0.950313117,-0.93107006,-0.959758548,-1.214576881,2
48,ACO1,-1.652486679,-1.829261528,-1.73166827,-1.281300687,2
50,ACO2,-1.515794294,-1.151531514,-1.186956463,-2.019050461,2
134526,ACOT12,-1.302271203,-1.282994832,-0.834580456,-0.189135764,2
55856,ACOT13,0.524736986,0.545284703,0.544514076,0.52335061,1
11332,ACOT7,-0.759009264,-1.225349394,-1.309182827,-1.318743138,2
10005,ACOT8,0.343877576,0.356498233,0.362777681,0.316586875,1
51,ACOX1,-1.169931926,-1.150865478,-0.926672264,-0.402073567,2
8309,ACOX2,-0.367076489,-0.000612225,-0.038265898,2.106114846,2
8310,ACOX3,-0.703484719,-0.828242011,-1.105829995,-0.796352223,2
52,ACP1,0.334001741,0.350749178,0.34166736,0.310827257,1
53,ACP2,-0.425652392,-0.414472644,-0.461187217,0.379630304,2
54,ACP5,0.262753407,0.282197295,0.298294155,-0.132335765,1
51205,ACP6,1.736715555,1.285804432,1.29120288,0.426778804,1
55,ACPP,-0.419716701,0.411598238,-0.441010922,2.064358802,2
93650,ACPT,0.354519316,0.3248696,0.292113797,0.220265982,1
84519,ACRBP,-0.392556504,-0.37338382,-0.191119625,1.193709184,2
56,ACRV1,1.425781516,1.444161211,1.468660527,1.885237739,1
23205,ACSBG1,0.508491869,-1.055081497,-0.456396109,-1.081169505,2
81616,ACSBG2,0.464455257,-0.894507053,-0.489414655,-0.654968617,2
80221,ACSF2,2.097498111,2.120552147,2.148236889,-1.482950834,1
